ablation,config_order,config_id,classifier,feature_mode,c,class_weight,train_size,validation_size,feature_dim,fit_seconds,validation_accuracy,validation_macro_f1,is_best_classical,label_order,per_class_json
feature_mode,3,003_logreg_word_c1_weightnone,logreg,word,1,none,33844,3712,20000,0.986,0.70312500,0.61126192,false,neutral|happy|sad|angry|fear|surprise,"{""angry"": {""f1-score"": 0.7132505175983437, ""precision"": 0.6451310861423221, ""recall"": 0.7974537037037037, ""support"": 864.0}, ""fear"": {""f1-score"": 0.5040650406504065, ""precision"": 0.7209302325581395, ""recall"": 0.3875, ""support"": 160.0}, ""happy"": {""f1-score"": 0.7957716701902748, ""precision"": 0.7751235584843492, ""recall"": 0.8175499565595135, ""support"": 1151.0}, ""neutral"": {""f1-score"": 0.7411347517730497, ""precision"": 0.734192037470726, ""recall"": 0.7482100238663485, ""support"": 838.0}, ""sad"": {""f1-score"": 0.525, ""precision"": 0.5877862595419847, ""recall"": 0.47433264887063653, ""support"": 487.0}, ""surprise"": {""f1-score"": 0.3883495145631068, ""precision"": 0.6185567010309279, ""recall"": 0.2830188679245283, ""support"": 212.0}}"
feature_mode,9,009_logreg_char_c1_weightnone,logreg,char,1,none,33844,3712,80000,2.861,0.70932112,0.62561000,false,neutral|happy|sad|angry|fear|surprise,"{""angry"": {""f1-score"": 0.735644076564925, ""precision"": 0.6651075771749299, ""recall"": 0.8229166666666666, ""support"": 864.0}, ""fear"": {""f1-score"": 0.5095057034220533, ""precision"": 0.6504854368932039, ""recall"": 0.41875, ""support"": 160.0}, ""happy"": {""f1-score"": 0.7911901736552308, ""precision"": 0.771900826446281, ""recall"": 0.8114682884448305, ""support"": 1151.0}, ""neutral"": {""f1-score"": 0.7352587244283996, ""precision"": 0.741504854368932, ""recall"": 0.7291169451073986, ""support"": 838.0}, ""sad"": {""f1-score"": 0.5397536394176932, ""precision"": 0.5935960591133005, ""recall"": 0.4948665297741273, ""support"": 487.0}, ""surprise"": {""f1-score"": 0.4423076923076923, ""precision"": 0.69, ""recall"": 0.32547169811320753, ""support"": 212.0}}"
feature_mode,15,015_logreg_word_char_c1_weightnone,logreg,word_char,1,none,33844,3712,100000,4.233,0.72252155,0.64990218,false,neutral|happy|sad|angry|fear|surprise,"{""angry"": {""f1-score"": 0.7433722163308589, ""precision"": 0.6859099804305284, ""recall"": 0.8113425925925926, ""support"": 864.0}, ""fear"": {""f1-score"": 0.5547445255474452, ""precision"": 0.6666666666666666, ""recall"": 0.475, ""support"": 160.0}, ""happy"": {""f1-score"": 0.803236797274276, ""precision"": 0.7878028404344194, ""recall"": 0.8192875760208514, ""support"": 1151.0}, ""neutral"": {""f1-score"": 0.7481927710843373, ""precision"": 0.7554744525547445, ""recall"": 0.7410501193317423, ""support"": 838.0}, ""sad"": {""f1-score"": 0.5633802816901409, ""precision"": 0.5963302752293578, ""recall"": 0.5338809034907598, ""support"": 487.0}, ""surprise"": {""f1-score"": 0.4864864864864865, ""precision"": 0.6694214876033058, ""recall"": 0.38207547169811323, ""support"": 212.0}}"
class_weight,15,015_logreg_word_char_c1_weightnone,logreg,word_char,1,none,33844,3712,100000,4.233,0.72252155,0.64990218,false,neutral|happy|sad|angry|fear|surprise,"{""angry"": {""f1-score"": 0.7433722163308589, ""precision"": 0.6859099804305284, ""recall"": 0.8113425925925926, ""support"": 864.0}, ""fear"": {""f1-score"": 0.5547445255474452, ""precision"": 0.6666666666666666, ""recall"": 0.475, ""support"": 160.0}, ""happy"": {""f1-score"": 0.803236797274276, ""precision"": 0.7878028404344194, ""recall"": 0.8192875760208514, ""support"": 1151.0}, ""neutral"": {""f1-score"": 0.7481927710843373, ""precision"": 0.7554744525547445, ""recall"": 0.7410501193317423, ""support"": 838.0}, ""sad"": {""f1-score"": 0.5633802816901409, ""precision"": 0.5963302752293578, ""recall"": 0.5338809034907598, ""support"": 487.0}, ""surprise"": {""f1-score"": 0.4864864864864865, ""precision"": 0.6694214876033058, ""recall"": 0.38207547169811323, ""support"": 212.0}}"
class_weight,16,016_logreg_word_char_c1_weightbalanced,logreg,word_char,1,balanced,33844,3712,100000,5.325,0.72090517,0.66028186,true,neutral|happy|sad|angry|fear|surprise,"{""angry"": {""f1-score"": 0.7489994282447112, ""precision"": 0.7401129943502824, ""recall"": 0.7581018518518519, ""support"": 864.0}, ""fear"": {""f1-score"": 0.5494505494505495, ""precision"": 0.49019607843137253, ""recall"": 0.625, ""support"": 160.0}, ""happy"": {""f1-score"": 0.8037383177570093, ""precision"": 0.823905109489051, ""recall"": 0.7845351867940921, ""support"": 1151.0}, ""neutral"": {""f1-score"": 0.7471194663432383, ""precision"": 0.7595561035758323, ""recall"": 0.7350835322195705, ""support"": 838.0}, ""sad"": {""f1-score"": 0.5868020304568528, ""precision"": 0.5803212851405622, ""recall"": 0.5934291581108829, ""support"": 487.0}, ""surprise"": {""f1-score"": 0.5255813953488372, ""precision"": 0.518348623853211, ""recall"": 0.5330188679245284, ""support"": 212.0}}"
